"Libellé","région","secteur","trimestre","nombre de salariés","date","part de salariés","part d’hommes","part de femmes","pop france métropolitaine","prop pop","pour 100000 habitants","pop région","estimation avec salariés et non salariés","pour 100000 habitants avec non salariés"
"Hébergement et restauration","Île-de-France","Tertiaire","2012-T4",286243,2012.75,83.2542911480777,51.8510871155374,48.1489128844626,63375971,18.7644405638535,2406.991893051837,11892146.410060031,343817.7132406096,2891.1325288575385
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2012-T4",85664,2012.75,97.4136361028159,75.1400209064623,24.8599790935377,63375971,18.7644405638535,720.3409464210218,11892146.410060031,87938.40721599318,739.4662341324913
"Information et communication","Île-de-France","Tertiaire","2012-T4",383336,2012.75,88.5420667058806,67.6455575594651,32.3544424405349,63375971,18.7644405638535,3223.4382825603384,11892146.410060031,432942.23216334794,3640.5726706921905
"Transports et entreposage","Île-de-France","Tertiaire","2012-T4",358980,2012.75,93.7115299333192,73.2478106080033,26.752262450877,63375971,18.7644405638535,3018.6308478032593,11892146.410060031,383069.1914382719,3221.1947131278057
"Activités financières et d'assurance","Île-de-France","Tertiaire","2013-T1",321564,2013,93.6750606278241,42.9260023853922,57.0739976146078,63697865,18.7644405638535,2690.338491054973,11952548.018368643,343275.9988035562,2871.9901252520435
"Activités immobilières","Île-de-France","Tertiaire","2013-T1",72219,2013,80.9033327097309,45.3980810861373,54.6019189138627,63697865,18.7644405638535,604.2142636784562,11952548.018368643,89265.79113756785,746.834825514898
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2013-T1",974506,2013,85.245855562656,55.0917902567076,44.9082406298637,63697865,18.7644405638535,8153.123488835869,11952548.018368643,1143171.1179011331,9564.246185368265
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2013-T1",1150581,2013,93.8102897165811,31.7830081814805,68.2169918185195,63697865,18.7644405638535,9626.240348349074,11952548.018368643,1226497.6512450033,10261.390703974794
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2013-T1",5186,2013,41.3813574082675,71.2588539247562,28.7411460752438,63697865,18.7644405638535,43.38823815666893,11952548.018368643,12532.213355968597,104.8497218895011
"Autres activités de services","Île-de-France","Tertiaire","2013-T1",358255,2013,78.9764741872223,38.3046311225266,61.6953688774734,63697865,18.7644405638535,2997.310694334252,11952548.018368643,453622.42830784986,3795.194360321533
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2013-T1",693667,2013,86.4632088486895,53.0752949025437,46.9247050974563,63697865,18.7644405638535,5803.507326922882,11952548.018368643,802268.3974335446,6712.111896146502
"Construction","Île-de-France","Construction","2013-T1",281349,2013,76.1828913971963,88.349732295478,11.6502088424899,63697865,18.7644405638535,2353.883034543125,11952548.018368643,369307.32719650265,3089.7790716167983
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2013-T1",169809,2013,91.9752138798998,70.5466278308938,29.4533721691062,63697865,18.7644405638535,1420.6928910809477,11952548.018368643,184624.74055427007,1544.647553563803
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2013-T1",71119,2013,97.5275216469567,74.0080713136318,25.9919286863682,63697865,18.7644405638535,595.0112050644308,11952548.018368643,72921.98017442314,610.0956889054689
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2013-T1",49253,2013,90.1449880537656,58.2836485601378,41.7163514398622,63697865,18.7644405638535,412.0711326514491,11952548.018368643,54637.535667123055,457.12040297312535
"Fabrication de matériels de transport","Île-de-France","Industrie","2013-T1",83897,2013,98.88354186718,79.6381737247353,20.3618262752647,63697865,18.7644405638535,701.9172804917188,11952548.018368643,84844.25053533188,709.8423733997427
"Hébergement et restauration","Île-de-France","Tertiaire","2013-T1",284814,2013,83.2542911480777,51.8510871155374,48.1489128844626,63697865,18.7644405638535,2382.8726691773054,11952548.018368643,342101.28519792965,2862.161981463612
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2013-T1",86164,2013,97.4136361028159,75.1400209064623,24.8599790935377,63697865,18.7644405638535,720.883947653533,11952548.018368643,88451.68237951574,740.0236522253116
"Information et communication","Île-de-France","Tertiaire","2013-T1",382447,2013,88.5420667058806,67.6455575594651,32.3544424405349,63697865,18.7644405638535,3199.7110525074363,11952548.018368643,431938.1896408789,3613.7749790009416
"Transports et entreposage","Île-de-France","Tertiaire","2013-T1",359914,2013,93.7115299333192,73.2478106080033,26.752262450877,63697865,18.7644405638535,3011.1905800075865,11952548.018368643,384065.8670881782,3213.255169508182
"Activités financières et d'assurance","Île-de-France","Tertiaire","2013-T2",321071,2013.25,93.6750606278241,42.9260023853922,57.0739976146078,63697865,18.7644405638535,2686.2138475125053,11952548.018368643,342749.71144735295,2867.5869858093533
"Activités immobilières","Île-de-France","Tertiaire","2013-T2",71948,2013.25,80.9033327097309,45.3980810861373,54.6019189138627,63697865,18.7644405638535,601.9469646926372,11952548.018368643,88930.82347811146,744.0323464205525
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2013-T2",979313,2013.25,85.245855562656,55.0917902567076,44.9082406298637,63697865,18.7644405638535,8193.34085497916,11952548.018368643,1148810.1017183193,9611.424274998362
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2013-T2",1155070,2013.25,93.8102897165811,31.7830081814805,68.2169918185195,63697865,18.7644405638535,9663.79719391122,11952548.018368643,1231282.8406027616,10301.425593191756
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2013-T2",5258,2013.25,41.3813574082675,71.2588539247562,28.7411460752438,63697865,18.7644405638535,43.99062017504151,11952548.018368643,12706.20474849265,106.30540642016906
"Autres activités de services","Île-de-France","Tertiaire","2013-T2",358793,2013.25,78.9764741872223,38.3046311225266,61.6953688774734,63697865,18.7644405638535,3001.811826638202,11952548.018368643,454303.6438287208,3800.893693382768
